ID,Title,Date,Dream,Dreamer,Dreamer alias,2020 Reference,Real Date
1,,1/1/2020,"“Scavengers” The most meaningful picture from my dream is that everything was burnt. It was like a post after the fire burning of the world. Yet even though there was cooled lava stone kind of shell overtop everything that was alive, there were still some people left. So some people had survived. And some people had scavenged stuff from the rubble or had hammered the crust with something and broken off a piece of some piece of junk - like an item you’d normally buy in a store, that kind of junk - and had scrabbled a living from this. The people that had done that were emaciated and skinny like skeletons with vacant eyes. Their whole focus was on what they had scavenged and made into a business to sell. They weren’t chasing me and I wasn’t running from them. Because I was uninterested in their scavenged things, it was like they didn’t even notice I was there. So I was able to be invisible. At one point in the dream, one of them looked at me and I still remember that hollow kind of hungry gaze and it pierced me for a second, and then I think because I didn’t return it, I didn’t need it - I didn’t need anything it had, its hunger just retracted and then it was as though I was insignificant and it left me alone. They were quite frightening to look at, so was what they had - it was like things you get from the dump, but there were people that were buying it and it was so awful.",Dreamer 3,Freya,pandemic,24/12/2019
2,,2/1/2020,"I had three dreams this week. The details are blurred. All of the dreams were Apocalyptic. The world was already burned. I’m surviving it. There’s a few other people that have survived it. The last one was really hot and dry. To be honest, I was in the dream, I was dreaming it and it was so hot and dry that I felt like I couldn’t breathe. I woke myself up and out of the dream.",Dreamer 3,Freya,environment,6/1/2020
3,,3/1/2020,"“The Attacks” My dream last night was a nightmare. It starts in the town where I grew up. I’m in front of the house that I lived in when I was growing up. I’m sitting on the grass in the front lawn and I see a person but it’s not clearly identified features. I’m just somehow in my dream saying it’s a man. The man is running and shouting angrily. I feel threatened so I start to back up. The person runs into my neighbor’s house on the right. I can’t go in my own house because I'm not safe there so I sneak around the side of my house and am hiding in the backyard. I hear screaming and yelling and commotion. The man comes out of my neighbor’s house and starts coming back up towards my house and goes in - nothing happens because no one’s in there - and comes out. I realize that he is sneaking or stalking around the perimeter of my own house. So I avoid him but he’s not far behind and I don’t know where to go that’s safe. I notice that my other neighbor’s side door is open a little bit and I’m feeling kind of bad about going into the house without knocking, but if I don’t run in and close the door and lock it, then that thing will get me. So I run in, close the door and lock it and the lady that owns the house looks at me and says, “Oh! What are you doing in here?” I say, “Quick! Lock the front door! There’s an angry person!” (but I don’t call it that in the dream. I’ve given it a name and the name escapes me). I warn her, so she does and we listen and it’s yelling angrily and pounding at the door and trying to get in, but it doesn’t. But while it’s trying, I tell her that it’s been chasing me for ages and I’m really sorry for invading your privacy, but I needed to come in here or it would kill me. She says that’s okay, it’s alright. She calmly looks at me and says, “Freya, what have you been doing? I never see you anymore.” So she’s talking to me and she’s kind of oblivious that this thing is out there. And then our small talk finishes. It’s quiet. It’s been quiet. I hover by the inside of her side door, waiting and waiting. I finally decide to open the door a crack, take a peek out, look around, there’s nothing. So I decide to leave and I go out of her house. I start walking up the street. Just as I get part way up, there it is again! It’s chasing me again, so I’m running and I can feel my breath getting caught in my throat and I’m getting out of breath and my legs start to hurt but I keep running and running and running. All of a sudden, that town turns into the town where I currently live. I’m coming towards the main street and I don’t know where to go because it’s dark out, nothing’s open, I don’t know anyone there. Then I realize that my friend lives about a block away and I might be able to make it to his house. So I do. This thing is behind me! I can hear it and it’s like just almost within a grasp of me the whole time. I make it to my friend’s apartment building and again I’m feeling the same kind of thing as I did in my neighbor’s house where I don’t feel right about barging in without knocking or without asking if it’s okay to come over or any of those things you do before you go over to someone else’s house. His door is slightly ajar and I run in, close the door and do up all the locks. I’m standing there and I can hear this thing on the outside, and it’s like snuffling around almost animal-like. I can feel its fingers tracing the outline of the door, looking for some way to come in. I back away really really slowly. I see my friend lying on the couch in his living room. He’s resigin. He’s having a nap. So I quietly sneak down into one of the bedrooms. I sit there. Some time passes and I’m listening for this thing and now I can hear it outside the apartment building trying to find a different way in. I don’t look out the window because I’m afraid it will see me. And then my friend wakes up and he’s over by the bedroom door, and I’m like shh with my finger over my mouth. I indicate to go to the middle of the apartment. The kitchen is actually in the middle. We go over there and I tell him, “I hope you don’t mind me coming in. There’s this thing chasing me and everywhere I go, it manages to break in the door or smash a window.” He says, “Oh, that’s okay.” So he tells me to just make myself comfortable and I do. He, my friend, goes about his regular tasks. He’s putting his things in his case and collecting up textbooks and he’s packing his lunch. He gets dressed and I’m still sitting there waiting and waiting. I’m nervous that he’s going to open the door and that thing will get in and find me. But he tells me to lock the door behind him, he opens the door, there’s nothing there. He goes to work and then I lock the doors behind him. So now I’m sitting in his apartment. I don’t have any of my own stuff. There’s not really anything to do. So I go in and wash the dishes because there’s nothing else to do. Then I’m sitting in the living room staring at the walls, feeling slightly trapped. I’m not calm. I can feel how tense and wired my body is. Then I sense that there’s somebody in one of the back bedrooms. So I go in there and my daughter’s in there and I’m like, “Oh! You’re here!” Then I notice that my cats have appeared - they are in the apartment too. I go into the other room and there’s my son. So now everybody’s in here and they’re safe. Okay, this is a good thing. Now, what are we going to do about food and clothing. I go over to one of the dressars and suddenly there’s clothing for us in one of the dressars. I go out to the kitchen and there’s no shortage of food - why would there be, somebody lives there. So I prepare my kids something to eat. I’m warning them, though, not to make too much noise or turn on many lights because that thing might get us. Then the day passes. We have some idle chit chat, patting the cats, and just kind of mindlessly arranging the furniture so we’ll fit in there - just slightly small. And then my friend comes back home from work and he’s just in there. I don’t actually see him come in the door, so there’s no fear about the door - that’s not revisited. He’s just in there again and I still feel tense that now we’re wearing different clothes and we’ve made food and now my cats and my kids are in there. And I’m scared because this is a huge invasion of his privacy. I don’t know where his dog went - he actually has a dog that would be some concern with the cats, but the dog doesn’t seem to be there. He’s a single dad and his two kids - the one son just comes and goes freely and the daughter is two weeks on, two weeks off. So I'm tense about this and he says, no that’s fine, don’t worry about it, and he says, come here, and he gives me a big hug and says, lie down. And he’s just hugging me. I can feel myself start to relax. I feel the tension slide away from my body. I accept that I’m safe. It happens gradually - as this hug is happening, a day passes and a night passes and a day passes and a night passes, and then I accept that okay, this is the right place to hide and it’s okay. My daughter has started to come and go freely. My son hasn’t. My friend’s kids are in their own routine and they get along fine. My son has taken an interest in his daughter - she is unique - and my son is very nurturing. The two of them have formed some kind of bond and that doesn’t surprise me because my son loves younger kids. So some semblance of normalcy has formed in my environment. I still want to go home, but I know I can’t and for now, this is working fine and people are happy.",Dreamer 3,Freya,pandemic,14/1/2020
4,,4/1/2020,"“The Sandbox'' In this odd mix of imagery and people, I find myself in a large two-story house with various people that I know from my extended family and where I currently work. The dream begins with C.R. from work and she’s been given the responsibility of taking care of two babies - one is about 10 months, almost ready to walk but not ready walking independently, and one can’t be anymore than 9 months older, not even two and he’s male. Later on in the dream when I ask what the children’s names are, someone tells me that the younger one is named Stacey and the older one is Alexander. So she’s taking care of them and I see her bring the babies out of a room and wonder if maybe they’ve just been bathed because they’re naked. She lays the younger one down on the rug beside the railing. The older one is standing. She tells them to stay there while she goes into a different room and gets diapers. I’m coming out of another room and I see them there and think, “Why is she laying them there? It’s really close to the stairs.” I’m thinking that the younger one can roll and fall down the stairs. I start to move towards that child and at the same time, she rolls and goes all the way down the stairs face first! I’m just horrified and thinking, “Oh my god!” She lands at the bottom and C.R. comes out of the room carrying the diapers, picks her up, and she’s okay! She carries her back upstairs and says, “Here can you hold her?” So, I do. I’m standing there with a naked baby on my hip. I’m looking at her and thinking, “Don’t you pee on me!” And that’s when I ask, “Whose children are these and what are their names?” Someone comes up to me and says the younger one is Stacey, the older one is Alexander. They belong to someone, but the name is muffled so I can’t understand what it is. That person isn’t there right now. Now the scenery that evolves around me is a kitchen. I’m standing there and there's people at the table. I see my stepmom’s brother and sister-in-law who’ve been very kind to me throughout my life. My aunt has a natal wheel in her hand and she says to me (I’m still holding this kid on my hip), “Is it possible that each year on my birthday, the aspects will move into a different house?” I reply to her and say, “Yes, because they move one degree ahead each year. I say, “So if you have any aspects that are in the 29th degree of something last year, then this year, they’ll be at the 30th degree, so it’s on the cusp. Or if they were on the 30th last year they’ll be in the first degree the next one, so they’ll be all the way in a different house. What have you got there?” She shows me her natal wheel and I say, “Oh look, you’ve got something that’s just moved into this house, which is ruled by Libra.” So she’s studying her chart and she’s absorbed by this. Then the kitchen suddenly expands and there’s a long dining room like my grandparents used to have. There’s a long table that seats 14 or 18 people and it’s set for dinner and there's chairs and whatnot. People start carrying dishes that they’ve prepared in the kitchen and they’re setting them out on the table. I’m vaguely aware that this is my extended family and the gathering is because it’s my aunt’s birthday. But at the same time, the children have been picked up by whoever owns them and I’m no longer carrying the one on my hip. Then, there’s this wooden small sandbox beside me. It’s a square box and made of plywood. It has a divider in it in the middle that divides the sandbox into 4 equal parts filled with sand. Another friend that I’ve recently starting talking to more from the studio where I teach, Arizona, is walking up that same hallway where those two kids were laying and the one fell down the stairs. He sees me and comes up and says, “What do you think about the election?” I say, “Just like this sandbox here, we have the same people in the same demographics and no matter who is running, the outcome is going to be the same because the sand hasn’t changed from its compartments.” He says to me, “I think you’re wrong and I’ll tell you why.” By this time, he’s walked all the way up the hallway and is now standing beside me in the kitchen. I say, “Why? What do you think?” I’m really curious and given the political climate we live in, I’m obviously really hopeful because I would like for it to change. I don’t want the same person to be elected - he’s a Trump kind of person, but he’s not called Trump in the dream. So he starts talking to me and I can’t hear what he’s saying and I really want to hear him. He’s tilting his head to the side and I’m tilting my head to the side so I can still hear him and all of a sudden we’re lying down in a bed and I’m leaning in to hear what he’s saying the way you would lean into kiss someone, but the other person’s mouth is by your ear. Then I take my leg and wrap it over top him. His hands are around my low back and he flips me over, so I’m on my back but his hands are still behind me and he starts stroking underneath my buttocks and around my yoni from behind. It sends a rush of pleasure all the way up my spine and it was so pronounced that I woke up. I never got to hear what he thought about the election.",Dreamer 3,Freya,election,12/2/2020
5,,5/1/2020,"“The Concert” The setting of this dream is the house I used to live in in Toronto. It starts and I’m in the kitchen with many other people. I had three roommates in this house, sometimes 4. It was close to UFT. Most of us were students, though some were not. I don’t know everybody in the kitchen this particular day, though I do know some of them. Everything in this dream is long and slow motion and drawn out and stretched in terms of the background. It’s not that people are moving in slow motion, but the minutes between things are elongated and stretched. I woke up feeling really heavy and groggy. In the kitchen, someone is making toast and the toaster is way across the kitchen. While the toast is in the toaster and I’m waiting for my turn, there’s at least 7 people that come in and out of the kitchen and have conversations, then leave the kitchen again, and the toast is still in the toaster. It’s not burnt, though. I can see the elements are still on, but it’s taking ages to toast yet the relationships among people are moving at a normal speed. I don’t question this in the dream - it’s not until I wake up that I notice everything in the dream is taking longer. In the kitchen, I’m oblivious of this distortion of time. I do, however, have these conversations with people. When I realize I’m not going to have toast that day, I leave the kitchen and go upstairs to my room. I go through the drawers in my room, looking to see what's there because a concert is happening tonight and Omar is meeting me at my house along with a couple of other friends. I start to prepare and I’m deciding what to wear. In one of the drawers, I find a bunch of checks. I look at it and wonder where these came from. When I start to look through it, I realize these are checks that a whole bunch of people have given me. They are of various amounts for an endeavor I’m supposed to be taking. They have invested in me. I realize I haven’t put them in the bank and they aren’t very safe where they are rolled up and put in this ceramic vase. So it sparks my memories. I put them back in the vase. It’s too late to go to the bank tonight, but I will go tomorrow. Then I go back downstairs. Omar and his friend Al and a girl he’s taking with him have arrived and they’re in the living room. We are happy to see each other. I go down and am talking to them for a while. I see what he’s wearing and tell him I’m going to get changed. I go back upstairs and someone is in the shower. I find a rolled up wad of money on the floor. I turn around and Omar is behind me. I say, “Is this yours?” He says, “No. Oh, there’s so many people in this house and we don’t know all of them. Don’t go downstairs and just say, ‘whose wad of money is this?’” I say, “I won’t. I’m going to go put it in my room and I’ll find a way to make it known to someone so they know their money is missing.” I go back into my room and I change. I pick out a black mini skirt with gold thread around the hem. I think it’s very pretty and sparkly. I choose a white blouse and a jacket that goes overtop just a few inches above the hem of the skirt. I put on my black tights and a pair of bulky socks and boots that look really nice. Then I go downstairs and Omar tells me I look very nice. But I turn and Al’s friend (I don’t know her name) is wearing the same thing I am. I think, “Well that’s really odd. That wasn’t what she was wearing when I went up the stairs.” I look over at Omar and he’s laughing. I shrug it off and I say to everyone in the room, “How much money is everyone bringing?” So I’m trying to get them to look in their wallets. The person whose money it is that’s missing will realize it’s lost and I can return the money to whoever it is. But they all check their wallets and they say different amounts. I say, “Okay, well I’m going to go upstairs and get my money.” While I’m going upstairs, the person is still in the shower and I realize it’s my nephew, Jared. I wonder if the money belongs to him. I put the wad of money in the same ceramic vase as the other checks that I need to deposit in the bank. Then I look through my own drawers and I find my wallet. I take out 2 twenties and put them in the little clutch that I’ve decided to take with me for the night. I go back downstairs again. Someone else is in the living room and she’s showing Omar this fabric and saying, “Isn’t this beautiful? It would make a nice skirt.” I look and say, “Oh yes, it is.” This is all gold and if you look closely, the gold thread has created patterns of flowers and it’s shimmering. This gold is really quite beautiful. Then suddenly, it’s not fabric anymore. It is a skirt - a longer skirt. She says, “This skirt costs $2,000 and people pay that for it and only wear it once. Within a couple of weeks it’s in a punk rock thrift store and that’s where I found it. This would look really nice on you.” I say, “Wow, you’re giving it to me?!” She says, “Yes.” I say, “Thank you so much!” I was thinking maybe I’ll change into it for tonight and then decide not to because it’s a long skirt and I want to save it for another time. I ask her if she would like some money for it. She hesitates and doesn’t answer and I’m thinking I could give her another twenty. I’m waiting and waiting, but she doesn’t answer me, so I thank her graciously. I go back upstairs and I put it in my room. I look into my wallet and I get out another $20 just in case to give to her. So I go back downstairs and by this time, I’m becoming conscious that it feels like it's the same time and all these activities are happening and we still haven’t left for the concert. So I say to everyone, “Shouldn’t we be leaving?” They say, “Yes, it starts really soon.” I look out the door and I see that someone else is coming in and they need to get ready for the concert. Right at that time, there’s a sliver in the time-space continuum and I’m at work. I’m thinking, “I need to get back to meet everyone for the concert.” Then when I'm thinking that, that same time frame fabric opens up and I’m back in the house. I think, “Oh good, everyone is still here.” But then we’re waiting for someone else to get ready. She comes back downstairs and she’s wearing that shimmering gold skirt. I think, “Wow, this is really odd.” But again I just shrug it off and I’m trying to get everyone to go. I say, “We should call for a cab.” But Omar’s friend is driving. I tell them there isn’t enough room for everyone in the one car. Then suddenly they have other rides and we get in the car and go. We arrive at the concert hall and I’m surprised that it’s general admission. We find a place to stand on the floor. I feel like I’m in the masonic temple or the music hall. I decide it’s the music hall. It’s quite dark. The band is playing but there’s no lights on the stage or upstairs on the balcony. But I recognize the structure and I think, “Oh I know where we are.” Then we start dancing as though the concert is just a background. It’s good. Omar and I are dancing and enjoying ourselves. That’s when I wake up.",Dreamer 3,Freya,pandemic,6/3/2020
6,,6/1/2020,"This dream starts in a house where I am getting ready to go on a journey. The journey begins at a certain time for me. But as I’m starting to pack, I realize my daughter is also coming with me. There’s other people in the house besides my daughter. They seem to be part of the background, like white noise, although occasionally one will come up and make some kind of remark or offer some bit of direction or advice. I’m packing bags. There’s a reason, although I don’t know what, that my daughter has to leave 10 minutes before I do and I’m going to meet her there. I pack both of our bags separately and I make two different lunches - one for her, one for me. As I go to leave out the apartment door, one of the people that lives there, comes up. Although she does not look like my step-mother, she carries the energy of her and the dynamic between us is the same. She questions me and says, “Are you sure you should be doing that?” I tell her, “It’s fine, I have to do this anyway.” Then I close the door. Although I do not see how I get to the train station, we suddenly shift from my apartment to the train station. I am standing there to purchase her train ticket and the conductor or ticket seller says to me: “How old is that child?” I look down in puzzlement and see that she’s only five. I think, “How did that happen? My daughter is much older than that.” I see her as older but having a 5-year old body. I think, “Well, I can’t send a 5-year-old by themselves on this 3-hour train ride to a different country. It’s not safe.” So, I tell him I’ve changed my mind. Then I’m uncertain what to do. Now I’m in a dilemma. I sit outside the train station for a moment with her. I start talking to her and describing the country we’re about to go to. I tell her that it’s Rome and describe the kind of life we would have there. She’s enjoying the story. But now I have to figure out how I’m going to get us there at the same time. In that moment, the dream shifts. I'm not at the train station anymore. My daughter and I are at this old beautiful house. It’s one of the houses that a governor general would have been given to build when they first came over from Britain or France to what would have been Upper or Lower Canada. We enter this house and are greeted by a butler who indicates where we are to put our shoes and socks. The house has extremely high ceilings and an extraordinary amount of washrooms. So as we walk down the main hallway, there’s one washroom to the left - it’s like a powder room. Across the wide hallway is a bathroom with a bathtub, bidet, marbled sink and scale and lots of white fluffy Egyptian cotton towels. The door is open, that's how I can see this. We continue down the main hallway to a gathering room, like a lounge area. There’s many people there. One of them is a person I know. The other people I recognize as people affiliated with the house - the family that owns the house and people that work for that family. We take a seat on one of the couches. More people keep coming in during this period of time when we’re waiting. We end up being a little bit squished - where you can feel the arm of the person sitting beside you on these couches. I’m able to hear the one person I know - he’s an author - that he’s actually voice-to-text recording an idea for a story as he’s sitting here waiting for the gathering. So we’re sitting in this sitting room, waiting, and I’m listening to the author voice-to-app recording some kind of idea. I’m getting the feeling that there’s some kind of clandestine activity going on. The people that have filed in and don’t have anywhere to sit and are standing close to me - there’s two of them - they’re also talking in hushed tones. I’m starting to sink into my body a little and extend my hearing out, so I'm focusing in on these individual conversations that people are having. In the dream, I am still aware of the purpose that I’ve come to this house for and it’s tied to me being able to leave at the same time from the train station with my daughter. I also start to realize that what the man is recording isn’t just an idea for a book, it’s a plan for also getting out of this country and into another one. I start listening to it more. Then he realizes I am listening and says, “Do you recognize that?” I said yes. He says, “After this is over, meet me in the bathroom - the main bathroom in the main hallway.” So I agree. Then someone comes in that’s a representative from this family. I start to notice that all of the family - they have pale whitish gold skin and bright red hair. As I look at the man beside me, I notice that he’s got some kind of similarity of features and coloring even though his hair is a lot darker, it has some threads of red-gold in it. I wonder if he’s a member of the family and disgruntled somehow with how they normally do things and that’s why he’s planning this way to get out that’s in opposition to what the family is telling us. Then in the dream, I have this flashback memory of being on a ski hill a long time ago and seeing them all together and that’s where I also know him from. Then in the room, the representative of the family is telling us this stuff. I’m not really listening. I’m starting to watch the people who are circulating around the room and gathering together - like who’s sitting with who and stuff. I see one person go up the stairs into the upstairs bathroom that’s at the top of the stairs. About two minutes later, I see the person they were talking to also go up the stairs into that bathroom. I’m thinking, “What are they up to?” So I walk up the stairs. Just as I arrive at the top, the one person exits. The door is open and the other person is standing there. I look in and the bathroom is hideous. It’s got toilet paper strewn all over the place and it looks like it hasn’t been cleaned in ages. The toilet itself is like a portapotty, only about six inches off the ground and the seat looks like it was made for a toddler, yet it looks like adults have been urinating into it, so there’s urine all over the seat and it’s just hideous. In fact, it does look like the last person stood on it and squatted and that’s why there’s urine all over it. There’s no conversation going on. I turn around and go back down the stairs. I realize that the meeting conversation is over and people are starting to disassemble. I go through the sitting room. Now I have my daughter in hand, she’s still five and as I’m leaving, I look to the side and I see the man that I’ve been talking to and he’s in the main bathroom where he asked to meet. But the door is open a crack and he has a towel wrapped around his waist, his hair is wet and he’s drying it with another towel. He’s just had a shower. So he’s involved in what he’s doing. There’s no meeting going on. He appears not to recognize me. That was just all at a glance. So I just keep walking out the front door with my daughter. I walk out the front door and we are back at the train station again. I’ve got these two lunches in my hand still and our suitcases. The train rolls up. We both get on it. We sit in one of the compartments and open up our lunches. I describe to her what I’ve made for her. We start eating. The train starts moving. And that’s where I wake up.",Dreamer 3,Freya,pandemic,15/3/2020
7,,7/1/2020,"“COVID Anxiety Dream” The setting is my elementary school. People are getting shelter in that school, like quarantine. I am one of those people. The whole dream is inked and soaked with sinister dirty energy. It’s just horrible. There’s the feeling that something or someone is going to find us and we’re hiding. Then for some reason, people start going outside. We feel we have to. There’s not a choice. So we start walking single-file and there’s quite a few minutes between each person as they exit the building. So first I’m standing outside by myself and it’s dark, it’s nighttime. Then I can still see the lights on in the school because I’m standing in the schoolyard. Then a few minutes later, someone else comes out of the building and a few minutes later someone else comes out. There are about five people. Then from around the other side of the building come two people. One of them is viciously stabbing the other person. There’s blood everywhere. While the attacker is occupied with the stabbing, the people that I’m standing there with are like, “Where are we going to go? We have to go somewhere where we’re not in danger from this person.” Then we walk around to the other side of the building and there’s a tuck shop on the lawn. We’re hiding around one side of the tuck shop which is closed. Then the attacker that was stabbing is covered with blood and is walking through the crowd because more people have come to gather around the tuck shop. They’re standing social distance apart. No one is standing close together. No one is huddled. So it’s not even really a group. There are about twelve people and we know that he might stab each one of us, but he’s not coming close enough. He’s just wielding the knife around and walking drunkenly.",Dreamer 3,Freya,pandemic,19/3/2020
8,,8/1/2020,"“Wooden Ship” In this dream I'm on a really big, long ship made entirely of wood. It’s between 40 and 60 feet long. It’s shaped like an arc or one of the older viking style ships. The ship belongs to my friend Randy from high school. He is captioning it and he’s invited me to go out on the ship for a day. The wood is really old - it’s dry and cracked from the sun, there's no luster in it or polish on the outside. In order to make it sea-worthy, there's this thick almost hemp-like woven netting about 5 inches thick and tight weave that cascades down from the gunnels to the hull. It’s not on the bottom of the hull, it just goes way past the draft all the way down to the bottom. It’s got debris filtered from the water as it’s gone through. So there's no spaces between the weaves, between the organic debris and the tightness of it. There’s a ladder to climb up the side and it swings a bit with your body weight as you climb. So I climb up, wrap my leg over the top, hop down and I’m standing on the deck. Randy follows me and takes the wheel. We start moving. I can feel the sway of the ship on top of the water and am starting to enjoy the splashes that come up over the sides. The channel where we are is relatively busy. We haven’t gone all the way out into the body of water. We’re still going through the channel. I’m standing on the bow, leaning over, and I see rock - like a shelf of rock underneath the surface of the water. So I shout back to him: “Randy, it’s too shallow here, we’ll never make it through! We’re going to run aground!” He says, “No, no, we’ll be fine. I’ve done this before.” He’s maneuvering the ship and I’m positive it’s going to scrape because it looks like the rock shelf is only about 12 inches under the water and you’re going to scrape your keel. You’re going to get stuck there. The ship is still going over it. We maneuver over quite a few of these and come out into the open water where you don’t need to man the ship so closely. So I walk from the bow back into the cockpit and I say, “I can’t believe the ship just didn't run aground.” He says, “That’s because it has no keel.” And I’m like, “What?! So how are we staying balanced?” Then just at the same time, I notice there really is a lot of side to side sway of the ship, like it’s rocking and a little bit forward. I say, “Oh, that explains that.” The dream speeds through the day on the water like it’s just a minute and we’re coming back through this same channel. Now it’s time to tie up. I’m getting the lines ready. In order to tie up in this one place, I also have to climb up a ladder that’s on the inside of the boat at starboard. As I’m climbing up, I realize it’s not attached to the wall and it’s like 12 feet up. This ship is big. So I start to climb and I have to be really careful where I put my feet and balance so that the pitching of the boat with no keel doesn’t pitch me off with the ladder away from the sides. So I’m trying to counter this. I make it up to the top. Then I have to walk across the top of it. Now it’s a platform, like walking the plank. It’s only about 6 inches wide and before I get to the end, Randy comes up the other side. He’s a lot heavier than me and it unbalances me. The top of the plank comes up like a seesaw. But I jump down with the line and I’m okay. Now I’m trying to tie the boat up. He makes it over the side, too. I’m standing there talking to him saying, “How is this boat balanced without a keel?” He tips the whole boat in the water so I can see - it’s made of wood so it must be light plus it’s buoyant. There’s actually a hole, like a long skinny hole in the bottom. I can see where this fibrous netting has ended and the space at the bottom of the hull where the keel used to be. It’s actually a hole. I’m kind of nonplussed, thinking how the ship doesn’t leak and how does it work? Then I wake up.",Dreamer 3,Freya,pandemic,19/3/2020
9,,9/1/2020,"“The Cyborg in Me” I entered my dream space as a cyborg. There was no one else in it. I felt nothing. There were no emotions as I was looking out at all different kinds of settings and landscapes, like I was passing through but didn’t belong. There were no people in it. It was all nighttime and dark and quiet. At some point, just before I woke up, that’s when I realized I was cataloging things through my eye. I started to realize there was a human part of me that realized I was cyborg. That’s when the creepy feeling started coming in about not feeling anything. Then I woke up. I couldn’t shake the creepy feeling of not having emotions. It just carried through like wiry air that was empty of something.",Dreamer 3,Freya,pandemic,25/3/2020
10,,10/1/2020,"“Dancing on the Edge” In this dream, it’s in a house that I don’t recognize - it’s not mine, I’ve never been in it. The set up is we’re all on the top floor - I don’t even know what’s in the basement. The top floor of the house as you come up the stairs at one end from the main floor is a sitting room. As you walk from that door, you go through the kitchen and you keep walking through the kitchen, you come to an eating area - dining room. Then straight ahead of the eating room are a few bedrooms. The doors are closed; we don’t see them in the dream. Off to the left is an upper floor sun room that has chairs in it and a lot of windows. The whole upstairs feels worn - the floors dip in the middle and there’s the old kind of linoleum tile that curls up at the edges of each square. The windows have a film of dust and age. The paint has dulled. The paint is chipped on the frames around the doors and you can see the wood through it. Dust has stuck to the cupboards in the kitchen and they look a little greasy. The furniture is all old and of poor quality. It’s full of people. The dream begins where I’m gathered with some people around a table in the eating area. We’ve divided up a number of tasks we have to complete. One of those persons is my yoga teacher from my teacher training. He seems to be in charge of it and is assigning tasks. Everyone is listening to him. So we’re divided up into groups of two or three people and we go down. I don’t see the stairs as we go down, but I’m just suddenly outside of the house on the sidewalk and in the street. In the dream, there’s no time devoted to the journey of going in and out of each store to pick up what we’re supposed to. I just know that we’ve done it. We’re back in the meeting place with our bags. They’re not a lot of bags. They also show signs of poor quality and age. We each only have two or three items in our bag. As we group up, it’s like a hydropole - a wooden post like that - and that’s where we’re supposed to meet. We’re supposed to return to the house all together. My teacher is there and he’s waiting for everyone to be together. As our group comes together, I notice that there’s one of those big grey steel boxes on the bottom of the hydropole. He’s got one hand on it. We’re reporting to him the items we could not find. Then he says, okay, I’ll show you where some of these can be found. He opens up the lid of the grey box and we see emergency supplies in there. There’s some medicine and all other first aid things. Then he says, “These are not to be used indiscriminately. They’re only there for emergencies.” So he closes it back up. None of us take any of them. We just know that they’re there and our anxiety, if there has been any produced by not finding everything on our list, is a little bit felt through the group like an exhale. Then we trudge back up the stairs to the top floor of the house. We take our things in. Everyone is putting them away in the various places. Then we reconvene at the kitchen table. Some other group has cooked some of the food and we eat. I’m not part of that group - I’m part of the group that goes out everyday and shops. At that point after supper, some people retire to the sun room off to the left. Others stay at the table, where we’ve got board games and cards - I stay at this table. Others have gone off into one of the bedroom doors - it’s now open, but it’s not a bedroom now. It’s turned into this other room where people are having a conversation and there’s chairs. Some are still in the kitchen sorting out what we have left for supplies. A few others, just a few, have gone into that other first room. So I play games, I play cards. The card game is slow to progress and is interrupted with conversation about the emergency supplies and whatnot. Then I hear music coming from the room that was a bedroom but has turned into a conversation room. I notice that people are dancing. I think, “Oh, that’s a really good idea. I think I need to go in there and just dance. So I do. There are about five or six people there as well as my teacher. We’re just dancing, not in couples, just more an ecstatic dance inspired by the music. Then, my teacher says something that I can’t remember. I say, “I don't think that I can dance with you. I didn't realize you were this tall.” He has walked towards me - the way people do when they’re dancing just facing each other. As he gets closer, he seems taller and taller. I think that I can’t dance with you, my head only comes up to your navel. But he leans over and says, “Yes you can, you can do it anyway.” And he puts one hand on my right shoulder, takes my left hand the way people would dance together as partners, but it’s like a polka where you go side to side, tapping your toes. I’m doing it! I’m thinking, “Oh, I can do this!” And we start to go in that pattern - to the right two, back to the left two, then you turn a quarter turn, you do it again, then you turn another quarter turn, and go in a full circle. It’s working. I say to him: “Look, if you press your big toe against the floor a little when it lands and you get a little more height, a little more bounce and it starts to feel lighter!” So we do that for a little while. It just works. Then, we stop. I think the music stops. We must have danced all the way from that front room, through the kitchen, to the back room. The music stops. We stop dancing. He starts to say something, but someone else comes in and says, “We need you over here.” So, the mood immediately sombers. We go back to the kitchen table. Everybody is gathered around and sitting still. We’re talking about the supplies and the way we’re going to ration them. That’s when I wake up.",Dreamer 3,Freya,pandemic,27/3/2020
